code #,part #,model id,release,model #,cpu,gpu,emc,size,color
A1989,661-10357,MacBookPro15.2,Mid 2018,MR9U2LL/A,2.3 GHz Core i5-8259U,Iris Plus Graphics 655,3214,13,Silver
A1989,661-10357,MacBookPro15.2,Mid 2018,MR9V2LL/A,2.3 GHz Core i5-8259U,Iris Plus Graphics 655,3214,13,Silver
A1989,661-10357,MacBookPro15.2,Mid 2018,BTO,2.7 GHz Core i7-8559U,Iris Plus Graphics 655,3214,13,Silver
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Core i5-8279U,Iris Plus Graphics 655,3358,13,SG
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Core i5-8279U,Iris Plus Graphics 655,3358,13,SG
A1989/A2159,661-12829,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Core i7-8569U,Iris Plus Graphics 655,3358,13,SG
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Core i5-8279U,Iris Plus Graphics 655,3358,13,Silver
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,MV972LL/A,2.4 GHz Core i5-8279U,Iris Plus Graphics 655,3358,13,Silver
A1989/A2159,661-12830,MacBookPro15.2,Mid 2019,BTO,2.8 GHz Core i7-8569U,Iris Plus Graphics 655,3358,13,Silver
! A1990
A1990,661-10355,MacBookPro15.1,Mid 2018,MR932LL/A,2.2 GHz Core i7-8750H,Radeon Pro 555X,3215,15,SG
A1990,661-10355,MacBookPro15.1,Mid 2018,MR942LL/A,2.6 GHz Core i7-8850H,Radeon Pro 560X/Radeon Pro Vega 16/20,3215,15,SG
A1990,661-10355,MacBookPro15.3,Mid 2018,BTO,2.6 GHz Core i7-8850H,Radeon Pro Vega 16/20,3215,15,SG
A1990,661-10355,MacBookPro15.1,Mid 2018,BTO,2.9 GHz Core i9-8950HK,Radeon Pro Vega 16/20,3215,15,SG
A1990,661-10355,MacBookPro15.3,Mid 2018,BTO,2.9 GHz Core i9-8950HK,Radeon Pro Vega 16/20,3215,15,SG
A1990,661-10355,MacBookPro15.1,Mid 2019,MV912LL/A,2.3 GHz Core i9-9880H,Radeon Pro 560X,3359,15,SG
A1990,661-10355,MacBookPro15.3,Mid 2019,BTO,2.3 GHz Core i9-9880H,Radeon Pro Vega 16/20,3359,15,SG
A1990,661-10355,MacBookPro15.1,Mid 2019,BTO,2.4 GHz Core i9-9980HK,Radeon Pro 555X/560X,3359,15,SG
A1990,661-10355,MacBookPro15.3,Mid 2019,BTO,2.4 GHz Core i9-9980HK,Radeon Pro Vega 16/20,3359,15,SG
A1990,661-10355,MacBookPro15.1,Mid 2019,MV902LL/A,2.6 GHz Core i7-9750H,Radeon Pro 555X,3359,15,SG
A1990,661-10356,MacBookPro15.1,Mid 2018,MR962LL/A,2.2 GHz Core i7-8750H,Radeon Pro 555X,3215,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2018,MR972LL/A,2.6 GHz Core i7-8850H,Radeon Pro 560X/Radeon Pro Vega 16/20,3215,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2018,BTO,2.6 GHz Core i7-8850H,Radeon Pro Vega 16/20,3215,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2018,BTO,2.9 GHz Core i9-8950H,Radeon Pro Vega 16/20,3215,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2018,BTO,2.9 GHz Core i9-8950H,Radeon Pro Vega 16/20,3215,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2019,MV932LL/A,2.3 GHz Core i9-9880H,Radeon Pro 560X,3359,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2019,BTO,2.3 GHz Core i9-9880H,Radeon Pro Vega 16/20,3359,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2019,BTO,2.4 GHz Core i9-9980HK,Radeon Pro 555X/560X,3359,15,Silver
A1990,661-10356,MacBookPro15.3,Mid 2019,BTO,2.4 GHz Core i9-9980HK,Radeon Pro Vega 16/20,3359,15,Silver
A1990,661-10356,MacBookPro15.1,Mid 2019,MV922LL/A,2.6 GHz Core i7-9750H,Radeon Pro 555X,3359,15,Silver
! A2141
A2141,661-14200,MacBookPro16.1,2019,MVVK2LL/A,2.3 GHz Core i9-9880H,Radeon Pro 5500M,3347,16,SG
A2141,661-14200,MacBookPro16.1,2019,BTO,2.4 GHz Core i9-9980HK,Radeon Pro 5300M/5500M,3347,16,SG
A2141,661-14200,MacBookPro16.1,2019,MVVJ2LL/A,2.6 GHz Core i7-9750H,Radeon Pro 5300M,3347,16,SG
A2141,661-14200,MacBookPro16.4,2020,BTO,2.3 GHz Core i9-9880H,Radeon Pro 5600M,3347,16,SG
A2141,661-14200,MacBookPro16.4,2020,BTO,2.6 GHz Core i7-9750H,Radeon Pro 5600M,3347,16,SG
A2141,661-14200,MacBookPro16.4,2020,BTO,2.4 GHz Core i9-9980HK,Radeon Pro 5600M,3347,16,SG
A2141,661-14201,MacBookPro16.1,2019,MVVM2LL/A,2.3 GHz Core i9-9880H,Radeon Pro 5500M,3347,16,Silver
A2141,661-14201,MacBookPro16.1,2019,BTO,2.4 GHz Core i9-9980HK,Radeon Pro 5300M/5500M,3347,16,Silver
A2141,661-14201,MacBookPro16.1,2019,MVVL2LL/A,2.6 GHz Core i7-9750H,Radeon Pro 5300M,3347,16,Silver
A2141,661-14201,MacBookPro16.4,2020,BTO,2.3 GHz Core i9-9880H,Radeon Pro 5600M,3347,16,Silver
A2141,661-14201,MacBookPro16.4,2020,BTO,2.6 GHz Core i7-9750H,Radeon Pro 5600M,3347,16,Silver
A2141,661-14201,MacBookPro16.4,2020,BTO,2.4 GHz Core i9-9980HK,Radeon Pro 5600M,3347,16,Silver
! A2159/A1989
A2159,661-12829,MacBookPro15.4,2019,MUHN2LL/A,1.4 GHz Core i5-8257U,Iris Plus Graphics 645,3301,13,SG
A2159,661-12829,MacBookPro15.4,2019,MUHP2LL/A,1.4 GHz Core i5-8257U,Iris Plus Graphics 645,3301,13,SG
A2159/A1989,661-12829,MacBookPro15.2,Mid 2019,MV962LL/A,2.4 GHz Core i5-8279U,Iris Plus Graphics 655,3358,13,SG
