model_code,part_number,model_identifier,release,model_number,cpu,emc,size,color
A2179,661-15389,MacBookAir9.1,2020,MVH22LL/A,1.1GHz Intel Core i5-1030NG7,3302,13,Space Gray
A2179,661-15389,MacBookAir9.1,2020,BTO,1.2GHz Intel Core i7-1060NG7,3302,13,Space Gray
A2179,661-15390,MacBookAir9.1,2020,MWTK2LL/A,1.1GHz Intel Core i3-1000NG4,3302,13,Silver
A2179,661-15390,MacBookAir9.1,2020,MVH42LL/A,1.1GHz Intel Core i5-1030NG7,3302,13,Silver
A2179,661-15390,MacBookAir9.1,2020,BTO,1.2GHz Intel Core i7-1060NG7,3302,13,Silver
A2179,661-15391,MacBookAir9.1,2020,MWTK2LL/A,1.1GHz Intel Core i3-1000NG4,3302,13,Gold
A2179,661-15391,MacBookAir9.1,2020,MVH42LL/A,1.1GHz Intel Core i5-1030NG7,3302,13,Gold
A2179,661-15391,MacBookAir9.1,2020,BTO,1.2GHz Intel Core i7-1060NG7,3302,13,Gold
# A2251/A2289
A2251/A2289,661-15732,MacBookPro16.2,2020,MWP42LL/A,2.0 GHz Core i5-1038NG7,3348,13,Space Gray
A2251/A2289,661-15732,MacBookPro16.2,2020,MWP52LL/A,2.0 GHz Core i5-1038NG7,3348,13,Space Gray
A2251/A2289,661-15732,MacBookPro16.2,2020,BTO,2.3 GHz Core i7-1068NG7,3348,13,Space Gray
A2251/A2289,661-15732,MacBookPro16.3,2020,MXK32LL/A,1.4 GHz Core i5-8257U,3456,13,Space Gray
A2251/A2289,661-15732,MacBookPro16.3,2020,MXK52LL/A,1.4 GHz Core i5-8257U,3456,13,Space Gray
A2251/A2289,661-15732,MacBookPro16.3,2020,BTO,1.7 GHz Core i7-8357U,3456,13,Space Gray
A2251/A2289,661-15733,MacBookPro16.2,2020,MXK32LL/A,1.4 GHz Core i5-8257U,3456,13,Silver
